,label,nobs,r_squared,adj_r_squared,aic,bic,raw_condition_number,standardized_condition_number
0,"Qwen/Qwen3.5-4B_Holistic naive v1, scale 4, system prompt V1, user prompt V1",11318.0,0.3219746632128073,0.32191474580941504,32603.132444869905,32617.80074418531,11.851953468467281,1.0
1,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",11318.0,0.34752923333273633,0.34729853563392354,32174.313887972163,32210.984636260677,43.68951142164191,7.712482390947797
2,"Qwen/Qwen3.5-4B_Holistic informed v1, scale 4, system prompt V1, user prompt V1",11318.0,0.3259451271675119,0.32588556063580176,32536.660293451714,32551.32859276712,11.89350630464038,1.0
3,"Qwen/Qwen3.5-4B_Formative v2, scale 4, system prompt V1, user prompt V1, rubric V1",11318.0,0.3472916150284987,0.34706083331366744,32178.43495287532,32215.105701163833,34.24300695634574,9.030980654112915
4,"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",11318.0,0.3186140329377619,0.3185538185539636,32659.09150719193,32673.759806507336,12.367195770174773,1.0
5,"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",11318.0,0.3240660026344221,0.32400627004363336,32568.168620180702,32582.83691949611,11.818366191709861,1.0
