,label,nobs,r_squared,adj_r_squared,aic,bic,raw_condition_number,standardized_condition_number
0,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",11318.0,0.33829878190279394,0.3380648205422009,32333.30672681719,32369.977475105705,28.652400895613088,7.560797756404849
1,"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",11318.0,0.30720442294885786,0.3071432002927028,32847.03892055452,32861.707219869924,12.160015040010414,1.0
2,"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",11318.0,0.29814612603407664,0.2980841028921567,32994.062598923345,33008.73089823875,12.215505421300092,1.0
3,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",11318.0,0.34752923333273633,0.34729853563392354,32174.313887972163,32210.984636260677,43.68951142164191,7.712482390947797
4,"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",11318.0,0.3186140329377619,0.3185538185539636,32659.09150719193,32673.759806507336,12.367195770174773,1.0
5,"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",11318.0,0.3240660026344221,0.32400627004363336,32568.168620180702,32582.83691949611,11.818366191709861,1.0
6,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",11318.0,0.2165819868632859,0.21630498942206366,34244.37697477668,34281.04772306519,25.284853043738085,6.167295137900997
7,"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",11318.0,0.18766196062327578,0.1875901739460598,34648.6561009233,34663.3244002387,10.779491045186386,1.0
8,"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",11318.0,0.17528983597755465,0.17521695597012954,34819.732765043416,34834.40106435882,11.86894175103041,1.0
